id,name,tier,people,alignment,role,sovereign_or_savior,vectors
"the_ender_who_forgot","The Ender Who Forgot Why","epic","marcher","villain","Warlord","Villain — feeds the foreclosure","strongly Violence −0.9, Death −0.4"
"the_farwalker","The Farwalker","epic","horizon","neither","Wayfinder","Savior — counterweight to The Gate That Gapes (starves it without knowing)","strongly Space −0.8, Peace +0.3"
"the_final_argument","The Final Argument","epic","syllogist","villain","Logician","Villain — feeds the foreclosure","strongly Logical +1.0"
"the_gate_that_gapes","The Gate That Gapes","epic","horizon","villain","Breach","Villain — feeds the foreclosure","strongly Space −0.9, Chaos −0.4"
"the_hour_hoarder","The Hour-Hoarder","epic","hourkeeper","villain","Miser","Villain — feeds the foreclosure","strongly Time +0.9"
"the_hundred_hands","The Hundred Hands","epic","somatic","hero","Master","Savior — counterweight to The Appetite (starves it without knowing)","strongly Body −0.8, Life +0.3"
"the_last_mercy","The Last Mercy","epic","unmaker","hero","Ender","Savior — counterweight to The Scouring Hand (starves it without knowing)","strongly Destruction −0.8, Death −0.3, Peace +0.3"
"the_last_seraph","The Last Seraph of the Pre-Transition Choir","epic","seraphic","hero","Saint","Savior — counterweight to The Burning Certainty, Sel Who Broke the Warding (starves it without knowing)","strongly Angelic +0.9, Spiritual +0.5, Life +0.3"
"the_lidded_calm","The Lidded Calm","epic","stillhold","villain","Suppressor","Villain — feeds the foreclosure","strongly Peace +0.9, Falsehood −0.6"
"the_slow_green","The Slow Green","epic","rootkin","","Unbought Court's ent — a wood that grows in a place where nothing gets to finish growing","","strongly Life +0.7, Space −0.4, Order +0.3"
"the_undecided","The Undecided","epic","churnfolk","","Courtier of the Hollow Court who has not finished becoming anything, and will not","","strongly Chaos −0.9, Abstract +0.5"
"the_weeping_archive","The Weeping Archive","epic","threnodist","hero","Keeper","Savior — counterweight to The Raw Chord (starves it without knowing)","strongly Emotional −0.8, Truth +0.5, Life +0.3"
"tolvess","Tolvess the Unhurried","epic","figurist","","A young true dragon of the Unbought Court — three hundred years old and considered impulsive","","Creation +0.5, Concrete −0.3"
"stonefast_urd","Urd Stonefast","epic","mason","","Unbought Court's mason — a dwarf who builds in the Churn on purpose, and rebuilds","","strongly Concrete −0.8, Order +0.5"
"the_awakened_precursor","Vessenaia, the Listening Half","epic","lattice","","Precursor steward of the Echo facility — left in place to hear what the watershed needed and tell the machine, and asleep so long that the machine forgot it was ever half of a pair","","strongly Order +0.7, Peace +0.6, Life +0.5, Mechanical −0.4"
"aro_horizon","Aro of the Horizon Reach","heroic","horizon","","Coliseum champion, the MOVE cell — has never been hit in this arena","","Time +0.4"
"bricke_making","Bricke of the Making","heroic","wright","","Coliseum champion, the SHAPE cell — arrives with a satchel and permission to use it","","Creation +0.5"
"cassa_redsail","Cassa Redsail","heroic","churnfolk","","Pirate out of the unspooling reaches — she takes ships nobody insures and is very hard to be angry at","","strongly Chaos −0.7, Violence −0.4, Time +0.4"
"elder_resonance","Elder Resonance","heroic","lattice","","Master of the Harmonic Heights","","strongly Order +0.7, Spiritual +0.6, Peace +0.5"
"prodigal_gearheart","Gearheart, Who Built at Twelve What Masters Couldn't","heroic","enginewright","hero","Prodigy","","Mechanical −0.6, Logical +0.5"
"hallis_pale","Hallis of the Palelands","heroic","ashwarden","","Coliseum champion, the SUSTAIN cell — six hours, twice, and both times the other one was younger","","Death −0.3"
"harl_maddock","Harl Maddock","heroic","churnfolk","","King of the Gralloch Crown — ended a four-way bandit feud by killing the other chiefs at a truce feast, and now takes tribute from every raider band within a week's ride","","strongly Violence −0.8, Concrete −0.5, Death −0.4, Order +0.3"
"ines_harrowgate","Ines Harrowgate","heroic","mason","","Holder of the Slip at Keelmouth — keeps the only slipway on four hundred miles of cliff open to anyone who pays the posted tariff","","Order +0.6, Life +0.6, Concrete −0.6, Peace +0.5"
"iselde_the_wanderer","Iselde Wend, She Who Reads the Long Roads","heroic","horizon","hero","Wanderer","","strongly Space −0.7, Truth +0.5, Peace +0.4"
"kestrin_riven","Kestrin of the Riven Marches","heroic","marcher","","Coliseum champion, the HARM cell — Marcher forms, and a clean stop when it is over","","Violence −0.3"
"lys_vane","Lys of the Veiled Reach","heroic","veilwright","","Coliseum champion, the INFLUENCE cell — does not appear to be fighting you","","Falsehood −0.5"
"marn_two_forms","Marn of Two Forms","heroic","somatic","","Battle-monk of the Flesh-Temples — the temple sends him where a fight must be stopped by one person","","Body −0.6, Spiritual +0.4, Violence −0.3"
"marshal_veyn","Marshal Veyn","heroic","marcher","","Marcher of the Redline — she has held a line and she has lost one","","Violence −0.6, Truth +0.4, Body −0.3"
"mother_hesk","Mother Hesk","heroic","veilwright","","Head of the Undercount — the thieves' guild that keeps the ledger beneath the Hundred Markets' ledger","","Order +0.4"
"oreth_quiet","Oreth of the Quiet Ground","heroic","threnodist","","Coliseum champion, the RESTORE cell — has never put a competitor down and never lost by yielding","","Life +0.4"
"orrun_shieldbreaker","Orrun Shieldbreaker","heroic","marcher","","Raider-captain of the Longshore reach — nine seasons, one ship, and a crew that has voted him back every one of them","","Violence −0.6, Time +0.5"
"oswin_tarrant","Oswin Tarrant","heroic","marcher","","Baron at Firstsight — holds the keep at the top of the only road down to the sea, taxes everything on it, and wants Keelmouth's harbour","","strongly Order +0.7, Violence −0.6, Concrete −0.4, Death −0.3, Mechanical −0.3"
"overseer_grael","Overseer Grael of the Edge District","heroic","lattice","villain","Keeper / Loremaster (corrupted)","Villain — feeds the foreclosure","Logical +0.6, Mind +0.3"
"pell","Pell Ran Marsh","heroic","mason","","Master smith of Millbrook; Silas's partner and wife","","(old 0–10 scale, not on the twelve: order 7, concrete 9, peace 4)"
"the_cogitant_ninefold","Rethe, Who Is Becoming the Engine","heroic","enginewright","neither","Analyst","Savior — counterweight to Harrow, Who Makes People Into Mechanisms (starves it without knowing)","strongly Mechanical −0.8, strongly Logical +0.7, Mind +0.6"
"the_undefeated","Saehara the Undefeated","heroic","marcher","hero","Champion","","Truth +0.6, Violence −0.4"
"the_lost_chord_seeker","Seeker of the Lost Chord","heroic","threnodist","neither","Seeker","","strongly Emotional −0.7, Truth +0.3"
"the_oathbreaker_sel","Sel Who Broke the Warding","heroic","seraphic","villain","Betrayer","Villain — feeds the foreclosure","Falsehood −0.5, Angelic +0.3"
"sesh_the_quiet_blow","Sesh of the Quiet Blow","heroic","cogitant","","Psionicist of the Cogitarium's hard school — she ends fights with a thought and finds that unremarkable","","strongly Mind +0.7, Logical +0.6, Violence −0.4"
"sethran_hold","Sethran of the Reasoned Hold","heroic","cogitant","","Coliseum champion, the KNOW cell — calls your moves aloud, a beat before you make them","","Logical +0.5"
"siol","Siol","heroic","ashwarden","","Traveler and warden of the Pale March — has been on this side before, and does not say when","","Truth +0.6, Death −0.5"
"the_apostate_choir","The Apostate of the Choir","heroic","numinous","neither","Heretic","","Truth +0.5, Spiritual +0.4"
"cogitant_ninefold","The Cogitant Ninefold","heroic","cogitant","","A Cogitant running nine minds in one skull, whose elegant answers leave out everything the body knows","","strongly Mind +0.8, Abstract +0.5"
"the_glad_dissolution","The Glad Dissolution","heroic","churnfolk","neither","Reveler","Savior — counterweight to The Still Lattice (starves it without knowing)","strongly Chaos −0.8, Emotional −0.3, Creation +0.3"
"the_keeper_of_small_debts","The Keeper of Small Debts","heroic","abyssal","","Court accountant — she holds the little unpaid things nobody remembers owing","","Truth +0.6, Demonic −0.4, Chaos −0.3"
"keeper_the_unsaid","The Keeper of the Unsaid","heroic","stillhold","neither","Stillhold elder who guards the buried truth the peace rests on","Savior — counterweight to The Lidded Calm (starves it without knowing)","Peace +0.6, Falsehood −0.4, Order +0.3"
"the_kind_liar","The Kind Liar","heroic","veilwright","neither","Maskmaker","Savior — counterweight to The Final Argument (starves it without knowing)","strongly Falsehood −0.7, Peace +0.4, Emotional −0.3"
"the_last_walker","The Last Walker of the Sealed Wood","heroic","rootkin","hero","Emissary","Savior — counterweight to Cinder Vael, the Wright Who Would Not Stop, The Hollow King of the Wild Half, The Thornmother of the Closing Wood (starves it without knowing)","strongly Life +0.8, Peace +0.4"
"the_nine_year_master","The Nine-Year Master","heroic","marcher","neither","Prodigy","","Violence −0.3"
"the_old_stag","The Old Stag","heroic","rootkin","","A presence between beast and guardian, the living heart of the Glade, dying","","strongly Spiritual +0.8, Time +0.4, Abstract +0.3"
"the_one_called_ares","The One Called Ares","heroic","god_named","complicated","Warden","","(no vectors — the spectrum field holds the word ""foothill"")"
"the_one_called_athena","The One Called Athena","heroic","god_named","complicated","Master","","(no vectors — the spectrum field holds the word ""foothill"")"
"the_one_called_loki","The One Called Loki","heroic","bargainers","complicated","Broker","","(no vectors — the spectrum field holds the word ""foothill"")"
"the_one_called_zeus","The One Called Zeus","heroic","god_named","complicated","First Among the God-Named","Not a Sovereign — role renamed *First Among the God-Named* (SNG-641)","(no vectors — the spectrum field holds the word ""foothill"")"
"the_bridgewright","The One Who Bridged the Unbridgeable","heroic","mason","hero","Builder","","strongly Concrete −0.7, Order +0.5"
"the_first_moot","The One Who Called the First Moot","heroic","rootkin","hero","Founder","","strongly Life +0.7, Peace +0.6"
"the_doubting_lattice","The One Who Doubts the Proof","heroic","lattice","neither","Heretic","","Order +0.4, Logical +0.3"
"the_war_ender","The One Who Ended the Long War","heroic","stillhold","hero","Peacemaker","","strongly Peace +0.9, Truth +0.4"
"the_long_grudge","The One Who Has Not Forgotten","heroic","umbral","neither","Avenger","","Dark −0.6, Logical +0.5, Violence −0.4"
"the_pattern_prophet","The One Who Reads the Coming Shape","heroic","figurist","neither","Prophet","","strongly Abstract +0.9, Time +0.4"
"the_one_who_stayed_embodied","The One Who Stayed Embodied","heroic","cogitant","hero","Philosopher","Savior — counterweight to The Unbodied (starves it without knowing)","Mind +0.6, Logical +0.5"
"the_edge_seeker","The One Who Walks Toward the Edge","heroic","horizon","neither","Seeker","","strongly Space −0.9"
"the_hundred_faces","The One With a Hundred Faces","heroic","veilwright","neither","Trickster","","strongly Falsehood −0.8, Chaos −0.3"
"the_open_figure","The Open Figure","heroic","figurist","hero","Pattern-Keeper","Savior — counterweight to The Still Lattice (starves it without knowing)","strongly Abstract +0.8, Logical +0.3"
"the_penitent_maw","The Penitent Maw","heroic","abyssal","neither","Redeemer","","Emotional −0.3"
"the_two_who_are_one","The Two Who Are One","heroic","threnodist","hero","Lover","","Emotional −0.6, Life +0.4"
"the_unbound_churn","The Unbound","heroic","churnfolk","neither","Free Spirit","","strongly Chaos −0.9, Peace +0.3"
"the_unravelled_mind","The Unravelled Mind","heroic","cogitant","neither","Mad Genius","","strongly Mind +0.9, Chaos −0.5"
"champion_vael","Vael of the Redline","heroic","marcher","","Marcher champion being pushed toward a war she knows is unjust","","Violence −0.5, Truth +0.5, Body −0.3"
"vantia_stillhold","Vantia of the Stillhold","heroic","stillhold","","Coliseum champion, the PROTECT cell — nine wins without a single offensive exchange","","Peace +0.5"
"rootbound_vaskar","Vaskar the Rootbound","heroic","rootkin","","Ancient Ent hardliner who would seal the wood from humankind","","Spiritual +0.6, Time +0.6, Life +0.5"
"vessa_truename","Vessa Who Trades in True Names","heroic","abyssal","neither","Broker","","Demonic −0.5, Truth +0.5"
"veth-ondra","Veth (Stillwater) Ondra","heroic","ashwarden","","Former Ashwarden warden of the March; teacher of the attending craft, and a Grave-Caller who does not advertise it. Keeps a market stall at the crossroads.","","(old 0–10 scale, not on the twelve: order 8, peace 6, concrete 6)"
"veyra_lance","Veyra of the Levelled Lance","heroic","marcher","","Duelist of the Redline circuit — twenty-two challenges, twenty-two stops, and she has never fought the same person twice","","strongly Violence −0.7, Truth +0.6, Order +0.3"
