id,called,whole_name,true_name,title,known_by,tier,people,alignment,sovereign_or_savior,vectors
"thornmother_sealed","The Thornmother of the Closing Wood","Hazel Tansy Thornbury","","the Thornmother of the Closing Wood","few","legendary","rootkin","villain","Challenger — Life (held by Neth)","strongly Life +0.9, Peace +0.3"
"the_ninefold_ascendant","The Unbodied","Syntha Lethe Noethe","","the Unbodied","gm","legendary","cogitant","villain","Sovereign — Mind (refused Body) · the Unbodied","strongly Mind +0.9"
"sunwrack_valen","Valen Sunwrack, Who Left No Shadow Standing","Valen Blaise Sunwrack","","Who Left No Shadow Standing","world","legendary","blazeborn","villain","Supply line — Lucifer's","strongly Light +0.9"
"ysenkar","Ysenkar, Who Wears the Smaller Door","","Ysenkaravel","Who Wears the Smaller Door","gm","legendary","dragon","","","strongly Truth +0.7, Abstract +0.4"
"first_flame_ateph","Ateph of the First Flame","Ateph Sunniva Candelor","","of the First Flame","world","epic","blazeborn","hero","","strongly Light +0.7, Spiritual +0.4"
"cinder_vael","Cinder Vael, the Wright Who Would Not Stop","Cinder Odile Vael","","the Wright Who Would Not Stop","world","epic","wright","villain","Challenger — Building (held by the Last Mercy)","strongly Creation +0.9, Mechanical −0.5"
"ember_who_banks_the_fire","Ember, Who Banks the Fire","Ember Iria Glassford","","Who Banks the Fire","world","epic","blazeborn","hero","Savior — counterweight to Valen Sunwrack, Who Left No Shadow Standing","strongly Light +0.7, Peace +0.4, Logical +0.3"
"halcyon_the_finished","Halcyon, Who Built One Perfect Thing","Halcyon Linnea Castell","","Who Built One Perfect Thing","world","epic","wright","hero","","strongly Creation +0.7, Order +0.6, Logical +0.3"
"dame_iseult_hardline","Iseult of the Kept Word","Iseult Constant Oathley","","Dame, of the Kept Word","world","epic","human","","","strongly Truth +0.7, Order +0.5, Violence −0.4"
"the_edge_that_holds","Kesh Ardent, the Edge That Holds","Kesh Runa Ardent","","the Edge That Holds","world","epic","marcher","hero","Savior — counterweight to The Ender Who Forgot Why","Violence −0.6, Truth +0.5"
"the_last_choirmistress","Ledda, the Last Choirmistress","Ledda Halia Sheerwater","","the Last Choirmistress","world","epic","numinous","hero","Savior — anti-Sovereign: knows, and hunts (R41c) · counterweight to The Choirmaster Who Would Not Return","Emotional −0.5, Spiritual +0.4"
"morvane_the_harvest","Morvane of the Harvest Hand","Morvane Sorcha Graveny","","of the Harvest Hand","world","epic","ashwarden","villain","Challenger — Death (held by Neth)","strongly Death −0.9, strongly Logical +0.7, Violence −0.4"
"neth_the_stayed","Neth, Who Has Buried More Than She Has Known","Neth Eluned Welland","","Who Has Buried More Than She Has Known","world","epic","ashwarden","hero","Savior — HOLDS Life / Death; challengers must beat her · counterweight to Morvane of the Harvest Hand","strongly Death −0.9, Truth +0.6"
"the_unbending_witness","Seraphine the Unbending Witness","Seraphine Verity Barestone","","the Unbending Witness","world","epic","verist","hero","","strongly Truth +0.9, Logical +0.5"
"sister_alder","Sister Alder, the Ward That Does Not Break","Alder Psalm Wistan","","Sister, the Ward That Does Not Break","world","epic","threnodist","hero","Savior — anti-Sovereign: knows, and hunts (R41c)","strongly Spiritual +0.7, Emotional −0.3"
"the_appetite","The Appetite","Kord Gio Faragon","","the Appetite","gm","epic","somatic","villain","Claimant on the refused half — Body","strongly Body −1.0"
"the_archive_that_walks","The Archive That Walks","Dace Prudence Candell","","the Archive That Walks","few","epic","verist","neither","","strongly Truth +0.7, Abstract +0.4"
"the_bright_bargain","The Bright Bargain","","Vellisande","the Bright Bargain","gm","epic","fae","","","strongly Chaos −0.7, Demonic −0.5, Truth +0.3"
"the_clockmother","The Clockmother, Who Keeps the Deep Hour","Meridia Pearl Bellhour","","Who Keeps the Deep Hour","few","epic","hourkeeper","neither","Savior — counterweight to The Hour-Hoarder","strongly Time +0.8, Logical +0.4, Spiritual +0.3"
"the_cornerstone","The Cornerstone","Ingo Clay Ashlar","","the Cornerstone","few","epic","mason","hero","","strongly Concrete −0.8, Order +0.4"
"the_deep_lantern","The Deep Lantern, Who Walks Where Light Won't","Shaye Eira Lanthorn","","Who Walks Where Light Won't","world","epic","umbral","hero","Savior — counterweight to Valen Sunwrack, Who Left No Shadow Standing, The Starless One","strongly Dark −0.8, Truth +0.3"
"the_ender_who_forgot","The Ender Who Forgot Why","Jarek Gunnar Mordaunt","","the Ender Who Forgot Why","gm","epic","marcher","villain","Villain","strongly Violence −0.9, Death −0.4"
"the_farwalker","The Farwalker","Isra Tern Hitherby","","the Farwalker","few","epic","horizon","neither","Savior — counterweight to The Gate That Gapes","strongly Space −0.8, Peace +0.3"
"the_final_argument","The Final Argument","Aristide Maxim Sorites","","the Final Argument","gm","epic","syllogist","villain","Villain","strongly Logical +1.0"
"the_gate_that_gapes","The Gate That Gapes","Nomi Drift Gyre","","the Gate That Gapes","gm","epic","horizon","villain","Claimant on the refused half — nearness (Span's other side)","strongly Space −0.9, Chaos −0.4"
"the_hour_hoarder","The Hour-Hoarder","Kairo Tarry Sandglass","","the Hour-Hoarder","gm","epic","hourkeeper","villain","Villain","strongly Time +0.9"
"the_hundred_hands","The Hundred Hands","Tarn Kai Moravec","","the Hundred Hands","few","epic","somatic","hero","Savior — counterweight to The Appetite","strongly Body −0.8, Life +0.3"
"the_last_mercy","The Last Mercy","Kenna Ruth Lastwood","","the Last Mercy","few","epic","unmaker","hero","Savior — HOLDS Breaking / Building; challengers must beat her · counterweight to The Scouring Hand","strongly Destruction −0.8, Death −0.3, Peace +0.3"
"the_last_seraph","The Last Seraph of the Pre-Transition Choir","Hosanna Celestine Choirholm","","the Last Seraph of the Pre-Transition Choir","few","epic","seraphic","hero","Savior — counterweight to The Burning Certainty, Sel Who Broke the Warding","strongly Angelic +0.9, Spiritual +0.5, Life +0.3"
"the_lidded_calm","The Lidded Calm","Placida Hope Softmere","","the Lidded Calm","gm","epic","stillhold","villain","Villain","strongly Peace +0.9, Falsehood −0.6"
"the_slow_green","The Slow Green","","Mossenvale","the Slow Green","gm","epic","ent","","","strongly Life +0.7, Space −0.4, Order +0.3"
"the_undecided","The Undecided","","Twixt","the Undecided","gm","epic","fae","","","strongly Chaos −0.9, Abstract +0.5"
"the_unmet","The Unmet","Kirra Sparrow Westerly","","the Unmet","gm","epic","horizon","villain","Sovereign — Span (refused nearness) · THIN","strongly Space −0.9"
"the_weeping_archive","The Weeping Archive","Lyra Elegia Sorrowby","","the Weeping Archive","few","epic","threnodist","hero","Savior — counterweight to The Raw Chord","strongly Emotional −0.8, Truth +0.5, Life +0.3"
"tolvess","Tolvess the Unhurried","","Tolvessarun","the Unhurried","gm","epic","dragon","","","Creation +0.5, Concrete −0.3"
"stonefast_urd","Urd Stonefast","Urd Knut Stonefast","","of the Unbought Court","world","epic","dwarven","","","strongly Concrete −0.8, Order +0.5"
"the_awakened_precursor","Vessenaia, the Listening Half","","Vessenaia","the Listening Half","few","epic","precursor","","","strongly Order +0.7, Peace +0.6, Life +0.5, Mechanical −0.4"
"aro_horizon","Aro of the Horizon Reach","Aro Jet Northway","","of the Horizon Reach","world","heroic","human","","","Time +0.4"
"bricke_making","Bricke of the Making","Bricke Frode Tallis","","of the Making","world","heroic","human","","","Creation +0.5"
"cassa_redsail","Cassa Redsail","Cassa Moor Redsail","","","world","heroic","human","","","strongly Chaos −0.7, Violence −0.4, Time +0.4"
"elder_resonance","Elder Resonance","Harmonie Lyric Everly","","Elder Resonance of the Harmonic Council","few","heroic","human","","","strongly Order +0.7, Spiritual +0.6, Peace +0.5"
"prodigal_gearheart","Gearheart, Who Built at Twelve What Masters Couldn't","Joule Lottie Gantry","","Gearheart, Who Built at Twelve What Masters Couldn't","few","heroic","enginewright","hero","","Mechanical −0.6, Logical +0.5"
"hallis_pale","Hallis of the Palelands","Hallis Maelle Lowrie","","of the Palelands","world","heroic","human","","","Death −0.3"
"harl_maddock","Harl Maddock","Harl Osric Maddock","","King of the Gralloch","world","heroic","human","","","strongly Violence −0.8, Concrete −0.5, Death −0.4, Order +0.3"
"ines_harrowgate","Ines Harrowgate","Ines Aurelie Harrowgate","","Holder of the Slip","world","heroic","human","","","Order +0.6, Life +0.6, Concrete −0.6, Peace +0.5"
"iselde_the_wanderer","Iselde Wend, She Who Reads the Long Roads","Iselde Skye Wend","","She Who Reads the Long Roads","world","heroic","horizon","hero","Savior — anti-Sovereign: knows, and hunts (R41c) · counterweight to The Unmet","strongly Space −0.7, Truth +0.5, Peace +0.4"
"kestrin_riven","Kestrin of the Riven Marches","Kestrin Helka Rusk","","of the Riven Marches","world","heroic","human","","","Violence −0.3"
"lys_vane","Lys of the Veiled Reach","Lys Fleur Vane","","of the Veiled Reach","world","heroic","human","","","Falsehood −0.5"
"marn_two_forms","Marn of Two Forms","Marn Dov Kesselt","","of Two Forms","world","heroic","human","","","Body −0.6, Spiritual +0.4, Violence −0.3"
"marshal_veyn","Marshal Veyn","Signe Dagmar Veyn","","Marshal","world","heroic","human","","","Violence −0.6, Truth +0.4, Body −0.3"
"mother_hesk","Mother Hesk","Agathe Morrow Hesk","","Mother of the Undercount","world","heroic","human","","","Order +0.4"
"oreth_quiet","Oreth of the Quiet Ground","Oreth Innes Restwell","","of the Quiet Ground","world","heroic","human","","","Life +0.4"
"orrun_shieldbreaker","Orrun Shieldbreaker","Orrun Jarl Stenholt","","Shieldbreaker","world","heroic","human","","","Violence −0.6, Time +0.5"
"oswin_tarrant","Oswin Tarrant","Oswin Calder Tarrant","","Baron at Firstsight","world","heroic","human","","","strongly Order +0.7, Violence −0.6, Concrete −0.4, Death −0.3, Mechanical −0.3"
"overseer_grael","Overseer Grael of the Edge District","Grael Dexa Ledgard","","Overseer of the Edge District","world","heroic","lattice","villain","Villain","Logical +0.6, Mind +0.3"
"pell","Pell Ran Marsh","Pell Ran Marsh","","","world","heroic","Valleyfolk","","","strongly Concrete −0.9, strongly Order +0.7, Peace +0.4"
"the_cogitant_ninefold","Rethe, Who Is Becoming the Engine","Rethe Ingram Spindler","","Who Is Becoming the Engine","world","heroic","enginewright","neither","Savior — counterweight to Harrow, Who Makes People Into Mechanisms","strongly Mechanical −0.8, strongly Logical +0.7, Mind +0.6"
"the_undefeated","Saehara the Undefeated","Saehara Kaja Falk","","the Undefeated","world","heroic","marcher","hero","","Truth +0.6, Violence −0.4"
"the_lost_chord_seeker","Seeker of the Lost Chord","Canto Dolce Rondel","","Seeker of the Lost Chord","few","heroic","threnodist","neither","","strongly Emotional −0.7, Truth +0.3"
"the_oathbreaker_sel","Sel Who Broke the Warding","Sel Ignatius Vigilant","","Who Broke the Warding","world","heroic","seraphic","villain","Villain","Falsehood −0.5, Angelic +0.3"
"sesh_the_quiet_blow","Sesh of the Quiet Blow","Sesh Hana Orsay","","of the Quiet Blow","world","heroic","human","","","strongly Mind +0.7, Logical +0.6, Violence −0.4"
"sethran_hold","Sethran of the Reasoned Hold","Sethran Rufin Modus","","of the Reasoned Hold","world","heroic","human","","","Logical +0.5"
"siol","Siol","Siol May Evenwatch","","","world","heroic","elven","","","Truth +0.6, Death −0.5"
"the_apostate_choir","The Apostate of the Choir","Oriane Nell Palewind","","the Apostate of the Choir","few","heroic","numinous","neither","","Truth +0.5, Spiritual +0.4"
"cogitant_ninefold","The Cogitant Ninefold","Sophron Pax Ordinal","","the Cogitant Ninefold","few","heroic","human","","","strongly Mind +0.8, Abstract +0.5"
"the_glad_dissolution","The Glad Dissolution","Fizz Wiz Scrumble","","the Glad Dissolution","few","heroic","churnfolk","neither","Savior — counterweight to The Still Lattice","strongly Chaos −0.8, Emotional −0.3, Creation +0.3"
"the_keeper_of_small_debts","The Keeper of Small Debts","","Tithewren","the Keeper of Small Debts","gm","heroic","fae","","","Truth +0.6, Demonic −0.4, Chaos −0.3"
"keeper_the_unsaid","The Keeper of the Unsaid","Quieta Tabitha Whisperby","","the Keeper of the Unsaid","few","heroic","stillhold","neither","Savior — counterweight to The Lidded Calm","Peace +0.6, Falsehood −0.4, Order +0.3"
"the_kind_liar","The Kind Liar","Jessamy Honor Semblant","","the Kind Liar","gm","heroic","veilwright","neither","Savior — counterweight to The Final Argument","strongly Falsehood −0.7, Peace +0.4, Emotional −0.3"
"the_last_walker","The Last Walker of the Sealed Wood","Willa Linden Underwood","","the Last Walker of the Sealed Wood","few","heroic","rootkin","hero","Savior — counterweight to Cinder Vael, the Wright Who Would Not Stop, The Hollow King of the Wild Half, The Thornmother of the Closing Wood","strongly Life +0.8, Peace +0.4"
"the_nine_year_master","The Nine-Year Master","Ganna Tove Wendt","","the Nine-Year Master","few","heroic","marcher","neither","","Violence −0.3"
"the_old_stag","The Old Stag","","Brackenhorn","the Old Stag","gm","heroic","glade-born","","","strongly Spiritual +0.8, Time +0.4, Abstract +0.3"
"the_one_called_ares","The One Called Ares","Corm Ned Wainwright","","the One Called Ares","gm","heroic","god_named","complicated","","Violence −0.6, Order +0.3"
"the_one_called_athena","The One Called Athena","Orla Harriet Fairley","","the One Called Athena","gm","heroic","god_named","complicated","","strongly Logical +0.8, Truth +0.5"
"the_one_called_loki","The One Called Loki","Ravel Jem Kimble","","the One Called Loki","gm","heroic","bargainers","complicated","","Chaos −0.6, Truth +0.4"
"the_one_called_zeus","The One Called Zeus","Holt George Langley","","the One Called Zeus, First Among the God-Named","gm","heroic","god_named","complicated","Not a Sovereign — First Among the God-Named","strongly Truth +0.7, Order +0.5"
"the_bridgewright","The One Who Bridged the Unbridgeable","Jarrow Bran Lintel","","the One Who Bridged the Unbridgeable","few","heroic","mason","hero","Savior — counterweight to The Unmet","strongly Concrete −0.7, Order +0.5"
"the_first_moot","The One Who Called the First Moot","Bramble Rowan Oakes","","the One Who Called the First Moot","few","heroic","rootkin","hero","","strongly Life +0.7, Peace +0.6"
"the_doubting_lattice","The One Who Doubts the Proof","Quarta Mira Squareby","","the One Who Doubts the Proof","few","heroic","lattice","neither","","Order +0.4, Logical +0.3"
"the_war_ender","The One Who Ended the Long War","Irena Honora Wallingford","","the One Who Ended the Long War","few","heroic","stillhold","hero","","strongly Peace +0.9, Truth +0.4"
"the_long_grudge","The One Who Has Not Forgotten","Mourne Nia Caulden","","the One Who Has Not Forgotten","gm","heroic","umbral","neither","","Dark −0.6, Logical +0.5, Violence −0.4"
"the_pattern_prophet","The One Who Reads the Coming Shape","Moira Ixa Gnomon","","the One Who Reads the Coming Shape","few","heroic","figurist","neither","","strongly Abstract +0.9, Time +0.4"
"the_one_who_stayed_embodied","The One Who Stayed Embodied","Menna Hael Premiss","","the One Who Stayed Embodied","few","heroic","cogitant","hero","Savior — counterweight to The Unbodied","Mind +0.6, Logical +0.5"
"the_edge_seeker","The One Who Walks Toward the Edge","Levan Pike Leagueson","","the One Who Walks Toward the Edge","few","heroic","horizon","neither","","strongly Space −0.9"
"the_hundred_faces","The One With a Hundred Faces","Ismene Margot Hauteville","","the One With a Hundred Faces","gm","heroic","veilwright","neither","","strongly Falsehood −0.8, Chaos −0.3"
"the_open_figure","The Open Figure","Arabel Luz Vellum","","the Open Figure","few","heroic","figurist","hero","Savior — counterweight to The Still Lattice","strongly Abstract +0.8, Logical +0.3"
"the_penitent_maw","The Penitent Maw","Morwen Ione Nethercott","","the Penitent Maw","gm","heroic","abyssal","neither","","Emotional −0.3"
"the_two_who_are_one","The Two Who Are One","Antiphon Tessa Harper","","the Two Who Are One","few","heroic","threnodist","hero","","Emotional −0.6, Life +0.4"
"the_unbound_churn","The Unbound","Lark Mab Tangle","","the Unbound","gm","heroic","churnfolk","neither","","strongly Chaos −0.9, Peace +0.3"
"the_unravelled_mind","The Unravelled Mind","Qualen Brev Epistel","","the Unravelled Mind","gm","heroic","cogitant","neither","","strongly Mind +0.9, Chaos −0.5"
"champion_vael","Vael of the Redline","Vael Edda Kade","","of the Redline","world","heroic","human","","","Violence −0.5, Truth +0.5, Body −0.3"
"vantia_stillhold","Vantia of the Stillhold","Vantia Miriam Evenhold","","of the Stillhold","world","heroic","human","","","Peace +0.5"
"rootbound_vaskar","Vaskar the Rootbound","","Vaskarunne","the Rootbound","gm","heroic","ent","","","Spiritual +0.6, Time +0.6, Life +0.5"
"vessa_truename","Vessa Who Trades in True Names","Vessa Hesper Erebane","","Who Trades in True Names","gm","heroic","abyssal","neither","","Demonic −0.5, Truth +0.5"
"veth-ondra","Veth (Stillwater) Ondra","Veth Stillwater Ondra","","","world","heroic","Valleyfolk","","","strongly Order +0.8, Peace +0.6, Concrete −0.6"
"veyra_lance","Veyra of the Levelled Lance","Veyra Leif Halvard","","of the Levelled Lance","world","heroic","human","","","strongly Violence −0.7, Truth +0.6, Order +0.3"
